task_id,start_point,end_point,priority,remaining_time
SP3-6,SP3,EP8,Normal,None
SP3-7,SP3,EP35,Normal,None
SP3-8,SP3,EP18,Normal,None
SP3-9,SP3,EP22,Normal,None
SP3-10,SP3,EP8,Normal,None
SP3-11,SP3,EP19,Normal,None
SP3-12,SP3,EP28,Normal,None
SP3-13,SP3,EP11,Normal,None
SP3-14,SP3,EP30,Normal,None
SP3-15,SP3,EP1,Normal,None
SP3-16,SP3,EP17,Normal,None
SP3-17,SP3,EP33,Normal,None
SP3-18,SP3,EP12,Urgent,270
SP3-19,SP3,EP33,Normal,None
SP3-20,SP3,EP7,Normal,None
SP3-21,SP3,EP20,Normal,None
SP3-22,SP3,EP33,Normal,None
SP3-23,SP3,EP39,Normal,None
SP3-24,SP3,EP13,Normal,None
SP3-25,SP3,EP10,Normal,None
SP3-26,SP3,EP24,Normal,None
SP3-27,SP3,EP11,Urgent,405
SP3-28,SP3,EP35,Urgent,420
SP3-29,SP3,EP34,Urgent,435
SP3-30,SP3,EP1,Normal,None
SP3-31,SP3,EP39,Urgent,465
SP3-32,SP3,EP21,Normal,None
SP3-33,SP3,EP32,Normal,None
SP3-34,SP3,EP2,Normal,None
SP3-35,SP3,EP8,Normal,None
SP3-36,SP3,EP24,Urgent,540
SP3-37,SP3,EP20,Normal,None
SP3-38,SP3,EP16,Normal,None
SP3-39,SP3,EP4,Normal,None
SP3-40,SP3,EP16,Normal,None
SP3-41,SP3,EP37,Normal,None
SP3-42,SP3,EP6,Urgent,630
SP4-1,SP4,EP6,Normal,None
SP4-2,SP4,EP32,Normal,None
SP4-3,SP4,EP5,Normal,None
SP4-4,SP4,EP35,Normal,None
SP4-5,SP4,EP9,Normal,None
SP4-6,SP4,EP9,Normal,None
SP4-7,SP4,EP31,Normal,None
SP4-8,SP4,EP36,Normal,None
SP4-9,SP4,EP11,Normal,None
SP4-10,SP4,EP17,Normal,None
SP4-11,SP4,EP34,Normal,None
SP4-12,SP4,EP39,Normal,None
SP4-13,SP4,EP28,Normal,None
SP4-14,SP4,EP14,Normal,None
SP4-15,SP4,EP35,Urgent,225
SP4-16,SP4,EP13,Normal,None
SP4-17,SP4,EP20,Urgent,255
SP4-18,SP4,EP26,Normal,None
SP4-19,SP4,EP24,Normal,None
SP4-20,SP4,EP29,Normal,None
SP4-21,SP4,EP34,Normal,None
SP4-22,SP4,EP29,Normal,None
SP4-23,SP4,EP8,Normal,None
SP4-24,SP4,EP16,Normal,None
SP4-25,SP4,EP15,Normal,None
SP4-26,SP4,EP5,Normal,None
SP4-27,SP4,EP22,Normal,None
SP4-28,SP4,EP2,Normal,None
SP4-29,SP4,EP38,Normal,None
SP4-30,SP4,EP36,Normal,None
SP4-31,SP4,EP15,Normal,None
SP4-32,SP4,EP38,Normal,None
SP4-33,SP4,EP15,Normal,None
SP4-34,SP4,EP1,Normal,None
SP4-35,SP4,EP5,Normal,None
SP4-36,SP4,EP4,Normal,None
SP4-37,SP4,EP15,Normal,None
SP4-38,SP4,EP5,Normal,None
SP4-39,SP4,EP3,Normal,None
SP4-40,SP4,EP22,Normal,None
SP4-41,SP4,EP5,Normal,None
SP4-42,SP4,EP33,Normal,None
SP5-1,SP5,EP16,Normal,None
SP5-2,SP5,EP18,Normal,None
SP5-3,SP5,EP32,Normal,None
SP5-4,SP5,EP14,Normal,None
SP5-5,SP5,EP35,Urgent,75
SP5-6,SP5,EP9,Normal,None
SP5-7,SP5,EP37,Urgent,105
SP5-8,SP5,EP37,Normal,None
SP5-9,SP5,EP31,Normal,None
SP5-10,SP5,EP16,Normal,None
SP5-11,SP5,EP31,Normal,None
SP5-12,SP5,EP27,Normal,None
SP5-13,SP5,EP13,Normal,None
SP5-14,SP5,EP7,Normal,None
SP5-15,SP5,EP7,Normal,None
SP5-16,SP5,EP28,Urgent,240
SP5-17,SP5,EP23,Normal,None
SP5-18,SP5,EP28,Normal,None
SP5-19,SP5,EP27,Normal,None
SP5-20,SP5,EP30,Normal,None
SP5-21,SP5,EP4,Normal,None
SP5-22,SP5,EP7,Normal,None
SP5-23,SP5,EP4,Normal,None
SP5-24,SP5,EP26,Normal,None
SP5-25,SP5,EP22,Normal,None
SP5-26,SP5,EP7,Normal,None
SP5-27,SP5,EP16,Urgent,405
SP5-28,SP5,EP13,Normal,None
SP5-29,SP5,EP13,Normal,None
SP5-30,SP5,EP35,Normal,None
SP5-31,SP5,EP29,Normal,None
SP5-32,SP5,EP9,Normal,None
SP5-33,SP5,EP28,Normal,None
SP5-34,SP5,EP12,Normal,None
SP5-35,SP5,EP18,Normal,None
SP5-36,SP5,EP30,Normal,None
SP5-37,SP5,EP16,Normal,None
SP5-38,SP5,EP5,Normal,None
SP5-39,SP5,EP29,Normal,None
SP5-40,SP5,EP36,Normal,None
SP5-41,SP5,EP7,Normal,None
SP5-42,SP5,EP4,Normal,None
SP6-1,SP6,EP35,Normal,None
SP6-2,SP6,EP1,Normal,None
SP6-3,SP6,EP6,Normal,None
SP6-4,SP6,EP16,Normal,None
SP6-5,SP6,EP11,Urgent,75
SP6-6,SP6,EP27,Normal,None
SP6-7,SP6,EP32,Urgent,105
SP6-8,SP6,EP31,Normal,None
SP6-9,SP6,EP14,Normal,None
SP6-10,SP6,EP26,Normal,None
SP6-11,SP6,EP4,Normal,None
SP6-12,SP6,EP11,Normal,None
SP6-13,SP6,EP25,Normal,None
SP6-14,SP6,EP1,Normal,None
SP6-15,SP6,EP25,Normal,None
SP6-16,SP6,EP17,Normal,None
SP6-17,SP6,EP30,Normal,None
SP6-18,SP6,EP19,Normal,None
SP6-19,SP6,EP28,Normal,None
SP6-20,SP6,EP36,Urgent,300
SP6-21,SP6,EP32,Normal,None
SP6-22,SP6,EP10,Normal,None
SP6-23,SP6,EP13,Normal,None
SP6-24,SP6,EP19,Normal,None
SP6-25,SP6,EP14,Normal,None
SP6-26,SP6,EP4,Normal,None
SP6-27,SP6,EP38,Normal,None
SP6-28,SP6,EP35,Normal,None
SP6-29,SP6,EP4,Normal,None
SP6-30,SP6,EP21,Normal,None
SP6-31,SP6,EP4,Normal,None
SP6-32,SP6,EP4,Normal,None
SP6-33,SP6,EP38,Normal,None
SP6-34,SP6,EP31,Normal,None
SP6-35,SP6,EP33,Normal,None
SP6-36,SP6,EP34,Normal,None
SP6-37,SP6,EP11,Normal,None
SP6-38,SP6,EP4,Normal,None
SP6-39,SP6,EP33,Normal,None
SP6-40,SP6,EP6,Normal,None
SP6-41,SP6,EP12,Normal,None
SP6-42,SP6,EP5,Normal,None
SP7-1,SP7,EP39,Normal,None
SP7-2,SP7,EP5,Normal,None
SP7-3,SP7,EP16,Normal,None
SP7-4,SP7,EP26,Normal,None
SP7-5,SP7,EP8,Normal,None
SP7-6,SP7,EP37,Normal,None
SP7-7,SP7,EP16,Urgent,105
SP7-8,SP7,EP38,Normal,None
SP7-9,SP7,EP39,Normal,None
SP7-10,SP7,EP3,Normal,None
SP7-11,SP7,EP40,Normal,None
SP7-12,SP7,EP6,Normal,None
SP7-13,SP7,EP27,Normal,None
SP7-14,SP7,EP38,Normal,None
SP7-15,SP7,EP37,Normal,None
SP7-16,SP7,EP34,Normal,None
SP7-17,SP7,EP21,Normal,None
SP7-18,SP7,EP17,Normal,None
SP7-19,SP7,EP14,Normal,None
SP7-20,SP7,EP21,Normal,None
SP7-21,SP7,EP16,Normal,None
SP7-22,SP7,EP17,Normal,None
SP7-23,SP7,EP26,Normal,None
SP7-24,SP7,EP9,Normal,None
SP7-25,SP7,EP20,Normal,None
SP7-26,SP7,EP30,Normal,None
SP7-27,SP7,EP21,Normal,None
SP7-28,SP7,EP5,Urgent,420
SP7-29,SP7,EP1,Normal,None
SP7-30,SP7,EP30,Normal,None
SP7-31,SP7,EP40,Normal,None
SP7-32,SP7,EP37,Normal,None
SP7-33,SP7,EP7,Normal,None
SP7-34,SP7,EP5,Normal,None
SP7-35,SP7,EP35,Normal,None
SP7-36,SP7,EP14,Urgent,540
SP7-37,SP7,EP33,Normal,None
SP7-38,SP7,EP17,Normal,None
SP7-39,SP7,EP9,Normal,None
SP7-40,SP7,EP23,Normal,None
SP7-41,SP7,EP5,Normal,None
SP7-42,SP7,EP16,Normal,None
SP8-1,SP8,EP24,Normal,None
SP8-2,SP8,EP19,Normal,None
SP8-3,SP8,EP11,Normal,None
SP8-4,SP8,EP29,Normal,None
SP8-5,SP8,EP35,Normal,None
SP8-6,SP8,EP20,Normal,None
SP8-7,SP8,EP40,Normal,None
SP8-8,SP8,EP34,Urgent,120
SP8-9,SP8,EP1,Urgent,135
SP8-10,SP8,EP36,Normal,None
SP8-11,SP8,EP20,Normal,None
SP8-12,SP8,EP7,Normal,None
SP8-13,SP8,EP9,Normal,None
SP8-14,SP8,EP17,Normal,None
SP8-15,SP8,EP8,Urgent,225
SP8-16,SP8,EP7,Normal,None
SP8-17,SP8,EP36,Normal,None
SP8-18,SP8,EP10,Normal,None
SP8-19,SP8,EP18,Normal,None
SP8-20,SP8,EP19,Normal,None
SP8-21,SP8,EP39,Normal,None
SP8-22,SP8,EP14,Normal,None
SP8-23,SP8,EP22,Normal,None
SP8-24,SP8,EP14,Normal,None
SP8-25,SP8,EP17,Normal,None
SP8-26,SP8,EP33,Normal,None
SP8-27,SP8,EP32,Normal,None
SP8-28,SP8,EP17,Normal,None
SP8-29,SP8,EP4,Normal,None
SP8-30,SP8,EP6,Normal,None
SP8-31,SP8,EP28,Normal,None
SP8-32,SP8,EP18,Normal,None
SP8-33,SP8,EP3,Normal,None
SP8-34,SP8,EP1,Urgent,510
SP8-35,SP8,EP22,Normal,None
SP8-36,SP8,EP9,Normal,None
SP8-37,SP8,EP17,Normal,None
SP8-38,SP8,EP11,Normal,None
SP8-39,SP8,EP29,Urgent,585
SP8-40,SP8,EP36,Normal,None
SP8-41,SP8,EP28,Normal,None
SP8-42,SP8,EP36,Normal,None
SP9-1,SP9,EP1,Normal,None
SP9-2,SP9,EP8,Normal,None
SP9-3,SP9,EP5,Normal,None
SP9-4,SP9,EP10,Normal,None
SP9-5,SP9,EP35,Normal,None
SP9-6,SP9,EP3,Normal,None
SP9-7,SP9,EP24,Normal,None
SP9-8,SP9,EP38,Normal,None
SP9-9,SP9,EP36,Normal,None
SP9-10,SP9,EP10,Normal,None
SP9-11,SP9,EP28,Urgent,165
SP9-12,SP9,EP9,Normal,None
SP9-13,SP9,EP3,Normal,None
SP9-14,SP9,EP20,Normal,None
SP9-15,SP9,EP24,Normal,None
SP9-16,SP9,EP3,Normal,None
SP9-17,SP9,EP23,Normal,None
SP9-18,SP9,EP14,Normal,None
SP9-19,SP9,EP16,Normal,None
SP9-20,SP9,EP7,Normal,None
SP9-21,SP9,EP23,Normal,None
SP9-22,SP9,EP36,Urgent,330
SP9-23,SP9,EP27,Normal,None
SP9-24,SP9,EP40,Urgent,360
SP9-25,SP9,EP10,Normal,None
SP9-26,SP9,EP16,Normal,None
SP9-27,SP9,EP11,Normal,None
SP9-28,SP9,EP12,Normal,None
SP9-29,SP9,EP27,Normal,None
SP9-30,SP9,EP2,Normal,None
SP9-31,SP9,EP12,Urgent,465
SP9-32,SP9,EP22,Normal,None
SP9-33,SP9,EP27,Normal,None
SP9-34,SP9,EP16,Normal,None
SP9-35,SP9,EP18,Normal,None
SP9-36,SP9,EP11,Normal,None
SP9-37,SP9,EP7,Normal,None
SP9-38,SP9,EP25,Normal,None
SP9-39,SP9,EP3,Normal,None
SP9-40,SP9,EP31,Normal,None
SP9-41,SP9,EP15,Normal,None
SP10-1,SP10,EP13,Normal,None
SP10-2,SP10,EP30,Normal,None
SP10-3,SP10,EP23,Urgent,45
SP10-4,SP10,EP20,Normal,None
SP10-5,SP10,EP15,Normal,None
SP10-6,SP10,EP15,Normal,None
SP10-7,SP10,EP2,Normal,None
SP10-8,SP10,EP13,Normal,None
SP10-9,SP10,EP26,Normal,None
SP10-10,SP10,EP22,Normal,None
SP10-11,SP10,EP18,Normal,None
SP10-12,SP10,EP5,Urgent,180
SP10-13,SP10,EP18,Normal,None
SP10-14,SP10,EP23,Urgent,210
SP10-15,SP10,EP33,Normal,None
SP10-16,SP10,EP26,Normal,None
SP10-17,SP10,EP35,Normal,None
SP10-18,SP10,EP22,Normal,None
SP10-19,SP10,EP2,Normal,None
SP10-20,SP10,EP8,Urgent,300
SP10-21,SP10,EP17,Normal,None
SP10-22,SP10,EP12,Normal,None
SP10-23,SP10,EP38,Normal,None
SP10-24,SP10,EP17,Normal,None
SP10-25,SP10,EP3,Normal,None
SP10-26,SP10,EP7,Normal,None
SP10-27,SP10,EP39,Normal,None
SP10-28,SP10,EP28,Normal,None
SP10-29,SP10,EP23,Normal,None
SP10-30,SP10,EP21,Normal,None
SP10-31,SP10,EP28,Normal,None
SP10-32,SP10,EP39,Normal,None
SP10-33,SP10,EP33,Normal,None
SP10-34,SP10,EP8,Normal,None
SP10-35,SP10,EP25,Normal,None
SP10-36,SP10,EP37,Urgent,540
SP10-37,SP10,EP13,Normal,None
SP10-38,SP10,EP17,Urgent,570
SP10-39,SP10,EP3,Normal,None
SP10-40,SP10,EP28,Normal,None
SP10-41,SP10,EP1,Normal,None
SP11-1,SP11,EP34,Normal,None
SP11-2,SP11,EP35,Normal,None
SP11-3,SP11,EP13,Normal,None
SP11-4,SP11,EP24,Normal,None
SP11-5,SP11,EP28,Normal,None
SP11-6,SP11,EP5,Normal,None
SP11-7,SP11,EP22,Normal,None
SP11-8,SP11,EP40,Normal,None
SP11-9,SP11,EP21,Normal,None
SP11-10,SP11,EP8,Normal,None
SP11-11,SP11,EP20,Normal,None
SP11-12,SP11,EP33,Normal,None
SP11-13,SP11,EP20,Normal,None
SP11-14,SP11,EP27,Normal,None
SP11-15,SP11,EP21,Normal,None
SP11-16,SP11,EP26,Normal,None
SP11-17,SP11,EP19,Normal,None
SP11-18,SP11,EP36,Normal,None
SP11-19,SP11,EP9,Normal,None
SP11-20,SP11,EP13,Normal,None
SP11-21,SP11,EP27,Normal,None
SP11-22,SP11,EP25,Normal,None
SP11-23,SP11,EP12,Normal,None
SP11-24,SP11,EP40,Normal,None
SP11-25,SP11,EP37,Normal,None
SP11-26,SP11,EP20,Normal,None
SP11-27,SP11,EP26,Normal,None
SP11-28,SP11,EP36,Urgent,420
SP11-29,SP11,EP1,Normal,None
SP11-30,SP11,EP20,Normal,None
SP11-31,SP11,EP19,Normal,None
SP11-32,SP11,EP14,Normal,None
SP11-33,SP11,EP28,Normal,None
SP11-34,SP11,EP38,Normal,None
SP11-35,SP11,EP39,Normal,None
SP11-36,SP11,EP21,Normal,None
SP11-37,SP11,EP30,Normal,None
SP11-38,SP11,EP29,Normal,None
SP11-39,SP11,EP29,Urgent,585
SP11-40,SP11,EP14,Normal,None
SP11-41,SP11,EP33,Normal,None
SP12-1,SP12,EP31,Normal,None
SP12-2,SP12,EP11,Normal,None
SP12-3,SP12,EP6,Normal,None
SP12-4,SP12,EP19,Normal,None
SP12-5,SP12,EP33,Normal,None
SP12-6,SP12,EP40,Normal,None
SP12-7,SP12,EP22,Normal,None
SP12-8,SP12,EP6,Normal,None
SP12-9,SP12,EP16,Normal,None
SP12-10,SP12,EP20,Normal,None
SP12-11,SP12,EP15,Normal,None
SP12-12,SP12,EP13,Normal,None
SP12-13,SP12,EP10,Normal,None
SP12-14,SP12,EP2,Normal,None
SP12-15,SP12,EP3,Normal,None
SP12-16,SP12,EP16,Normal,None
SP12-17,SP12,EP31,Normal,None
SP12-18,SP12,EP40,Normal,None
SP12-19,SP12,EP5,Normal,None
SP12-20,SP12,EP30,Normal,None
SP12-21,SP12,EP27,Normal,None
SP12-22,SP12,EP37,Normal,None
SP12-23,SP12,EP13,Normal,None
SP12-24,SP12,EP25,Normal,None
SP12-25,SP12,EP32,Normal,None
SP12-26,SP12,EP26,Normal,None
SP12-27,SP12,EP16,Normal,None
SP12-28,SP12,EP10,Normal,None
SP12-29,SP12,EP1,Normal,None
SP12-30,SP12,EP7,Normal,None
SP12-31,SP12,EP28,Normal,None
SP12-32,SP12,EP15,Urgent,480
SP12-33,SP12,EP12,Normal,None
SP12-34,SP12,EP34,Normal,None
SP12-35,SP12,EP30,Normal,None
SP12-36,SP12,EP4,Normal,None
SP12-37,SP12,EP36,Normal,None
SP12-38,SP12,EP16,Normal,None
SP12-39,SP12,EP8,Normal,None
SP12-40,SP12,EP30,Normal,None
SP12-41,SP12,EP9,Normal,None
